window_start,window_end,kind,horizon,as_of,symbol,anchor_close,venue_quote,fair_value,reopen,quote_move_bps,fair_move_bps,realised_bps,err_lighthouse_bps,err_venue_bps,err_lastclose_bps,lam_common,lam_idio,n_train
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RSOXLUSDT,63.43,64.25,64.1953,65.45,129.28,120.66,318.46,197.8,189.18,318.46,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RSOXXUSDT,352.95,354.0,354.4179,356.0,29.75,41.59,86.41,44.82,56.67,86.41,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RSPYUSDT,681.78,683.29,683.4207,685.88,22.15,24.07,60.14,36.07,37.99,60.14,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RSTXUSDT,415.2978,419.01,418.9524,421.0,89.39,88.0,137.3,49.31,47.92,137.3,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RTLTUSDT,89.9001,89.66,89.8198,89.67,-26.71,-8.93,-25.6,16.67,1.11,25.6,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RTQQQUSDT,48.04,48.44,48.406,49.06,83.26,76.2,212.32,136.13,129.06,212.32,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RTSLAUSDT,409.15,411.72,411.3371,414.0,62.81,53.46,118.54,65.08,55.73,118.54,1.0,0.55,25
2026-02-17T20:00:00-05:00,2026-02-18T04:00:00-05:00,overnight,0.25,2026-02-17T22:00:00-05:00,RVOOUSDT,626.969,628.42,628.5728,630.0,23.14,25.58,48.34,22.76,25.2,48.34,1.0,0.55,25
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RAAPLUSDT,263.29,263.6,263.6764,263.61,11.77,14.67,12.15,2.52,0.38,12.15,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RAMDUSDT,199.9915,200.12,200.56,201.4,6.43,28.43,70.43,42.0,64.0,70.43,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RAMZNUSDT,204.89,205.49,205.5309,205.25,29.28,31.28,17.57,13.71,11.71,17.57,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RAVGOUSDT,333.2,333.91,334.2197,333.79,21.31,30.6,17.71,12.9,3.6,17.71,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RBABAUSDT,156.0116,156.58,156.3961,156.6,36.43,24.65,37.72,13.07,1.28,37.72,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RCDEUSDT,22.2573,22.57,22.5487,22.54,140.49,130.9,127.01,3.89,13.48,127.01,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RCRMUSDT,188.03,188.5,188.5848,188.78,25.0,29.5,39.89,10.38,14.89,39.89,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RCRWVUSDT,95.7003,96.16,96.263,96.34,48.04,58.8,66.84,8.05,18.81,66.84,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,REWZUSDT,38.18,38.35,38.3158,38.42,44.53,35.57,62.86,27.29,18.33,62.86,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RGOOGLUSDT,303.3,303.8,304.1013,304.65,16.49,26.42,44.51,18.09,28.03,44.51,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RHLUSDT,22.0,22.9,22.613,22.32,409.09,278.63,145.45,133.18,263.64,145.45,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RHOODUSDT,75.2124,75.75,75.7451,75.54,71.48,70.82,43.56,27.27,27.92,43.56,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RINTCUSDT,45.3999,45.49,45.5643,45.47,19.85,36.21,15.44,20.76,4.41,15.44,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RIVVUSDT,688.7859,689.58,689.9615,689.09,11.53,17.07,4.42,12.65,7.11,4.42,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RJPMUSDT,308.66,308.1,308.7014,309.01,-18.14,1.34,11.34,10.0,29.48,11.34,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RLITEUSDT,594.1131,600.57,598.2938,600.7,108.68,70.37,110.87,40.5,2.19,110.87,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RMETAUSDT,640.3693,641.91,642.023,643.24,24.06,25.82,44.83,19.0,20.77,44.83,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RMRVLUSDT,79.1,79.19,79.3004,79.35,11.38,25.33,31.61,6.27,20.23,31.61,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RMSFTUSDT,400.25,401.09,401.1801,401.5,20.99,23.24,31.23,7.99,10.24,31.23,1.2,0.55,26
2026-02-18T20:00:00-05:00,2026-02-19T04:00:00-05:00,overnight,0.25,2026-02-18T22:00:00-05:00,RNBISUSDT,101.65,101.75,101.9817,102.49,9.84,32.63,82.64,50.01,72.8,82.64,1.2,0.55,26
